experiment,cell_id,before_score,candidate_after_score,after_score,before_type,candidate_after_type,after_type,accepted,decision,improvement,raw_candidate_improvement,patch_size,retry_diameter,x0,x1,y0,y1
baseline_no_correction,cell_1,0.1237262571135552,0.1237262571135552,0.1237262571135552,endothelial cell of artery,endothelial cell of artery,endothelial cell of artery,False,not_run,0.0,0.0,80,20,,,,
baseline_no_correction,cell_6,0.0101603804434826,0.0101603804434826,0.0101603804434826,vascular associated smooth muscle cell,vascular associated smooth muscle cell,vascular associated smooth muscle cell,False,not_run,0.0,0.0,80,20,,,,
baseline_no_correction,cell_8,0.1452466013589321,0.1452466013589321,0.1452466013589321,myofibroblast cell,myofibroblast cell,myofibroblast cell,False,not_run,0.0,0.0,80,20,,,,
baseline_no_correction,cell_9,0.1075434983424123,0.1075434983424123,0.1075434983424123,vascular associated smooth muscle cell,vascular associated smooth muscle cell,vascular associated smooth muscle cell,False,not_run,0.0,0.0,80,20,,,,
baseline_no_correction,cell_10,0.0332263707601387,0.0332263707601387,0.0332263707601387,pericyte,pericyte,pericyte,False,not_run,0.0,0.0,80,20,,,,
baseline_no_correction,cell_11,0.0747488540346365,0.0747488540346365,0.0747488540346365,vein endothelial cell,vein endothelial cell,vein endothelial cell,False,not_run,0.0,0.0,80,20,,,,
baseline_no_correction,cell_16,0.0952496414502628,0.0952496414502628,0.0952496414502628,endothelial cell,endothelial cell,endothelial cell,False,not_run,0.0,0.0,80,20,,,,
baseline_no_correction,cell_18,0.1515848239954636,0.1515848239954636,0.1515848239954636,endothelial cell,endothelial cell,endothelial cell,False,not_run,0.0,0.0,80,20,,,,
baseline_no_correction,cell_21,0.1034453482541205,0.1034453482541205,0.1034453482541205,pericyte,pericyte,pericyte,False,not_run,0.0,0.0,80,20,,,,
baseline_no_correction,cell_24,0.0532108560350025,0.0532108560350025,0.0532108560350025,fibroblast,fibroblast,fibroblast,False,not_run,0.0,0.0,80,20,,,,
baseline_no_correction,cell_26,0.1532493019981955,0.1532493019981955,0.1532493019981955,vein endothelial cell,vein endothelial cell,vein endothelial cell,False,not_run,0.0,0.0,80,20,,,,
baseline_no_correction,cell_27,0.148764258736804,0.148764258736804,0.148764258736804,endothelial cell,endothelial cell,endothelial cell,False,not_run,0.0,0.0,80,20,,,,
baseline_no_correction,cell_30,0.1271533199283328,0.1271533199283328,0.1271533199283328,vein endothelial cell,vein endothelial cell,vein endothelial cell,False,not_run,0.0,0.0,80,20,,,,
baseline_no_correction,cell_34,0.1053436299485385,0.1053436299485385,0.1053436299485385,fibroblast,fibroblast,fibroblast,False,not_run,0.0,0.0,80,20,,,,
baseline_no_correction,cell_36,0.0472189885016028,0.0472189885016028,0.0472189885016028,endothelial cell,endothelial cell,endothelial cell,False,not_run,0.0,0.0,80,20,,,,
baseline_no_correction,cell_40,0.041225019789599,0.041225019789599,0.041225019789599,vein endothelial cell,vein endothelial cell,vein endothelial cell,False,not_run,0.0,0.0,80,20,,,,
baseline_no_correction,cell_41,0.0202000895389495,0.0202000895389495,0.0202000895389495,endothelial cell of vascular tree,endothelial cell of vascular tree,endothelial cell of vascular tree,False,not_run,0.0,0.0,80,20,,,,
baseline_no_correction,cell_42,0.1262376647762303,0.1262376647762303,0.1262376647762303,fibroblast,fibroblast,fibroblast,False,not_run,0.0,0.0,80,20,,,,
baseline_no_correction,cell_43,0.0629260171600307,0.0629260171600307,0.0629260171600307,myofibroblast cell,myofibroblast cell,myofibroblast cell,False,not_run,0.0,0.0,80,20,,,,
baseline_no_correction,cell_44,0.1511632590975457,0.1511632590975457,0.1511632590975457,endothelial cell,endothelial cell,endothelial cell,False,not_run,0.0,0.0,80,20,,,,
baseline_no_correction,cell_47,0.0458167835453407,0.0458167835453407,0.0458167835453407,pericyte,pericyte,pericyte,False,not_run,0.0,0.0,80,20,,,,
baseline_no_correction,cell_49,0.0729621414774816,0.0729621414774816,0.0729621414774816,endothelial cell of vascular tree,endothelial cell of vascular tree,endothelial cell of vascular tree,False,not_run,0.0,0.0,80,20,,,,
